OBJECTID,Name,ID,ZONENAME,EDIRANK,AREAHA,TREECOUNT,TREESPERHA,JUVCOUNT,JUVPERHA,MEANDBH,SPECIES,SPECIESPERTREE,PERCHIGH,HIGHHA,PERCMED,MEDHA,NFIHA,NFIPERC,POP,POPPERHA,NFIChange,Shape_Length,Shape_Area
56,Northfield and Piershill,78.000000000000000,Northfield and Piershill,5,43.740000000000002,496,11.340000000000000,35,0.800000000000000,32,49,0.100000000000000,1.946690626000000,0.851482480000000,16.516921230000001,7.224501348000000,1.380000000000000,3.160000000000000,"3,512",80.290000000000006,-0.409587000000000,"5,937.057171339955900","437,417.586568785420000"
57,Craigentinny,27.000000000000000,Craigentinny,1,118.620000000000000,85,0.720000000000000,10,0.080000000000000,26,12,0.140000000000000,1.955922865000000,2.320115702000000,6.369146006000000,7.555080992000000,2.820000000000000,2.380000000000000,"2,855",24.070000000000000,-0.000507000000000,"6,639.463504117605200","1,186,197.953369113400000"
58,Restalrig (Loganlea) and Craigentinny West,86.000000000000000,Restalrig (Loganlea) and Craigentinny West,4,40.710000000000001,399,9.800000000000001,7,0.170000000000000,36,32,0.080000000000000,0.660331776000000,0.268821066000000,24.561120949999999,9.998832340000000,0.020000000000000,0.050000000000000,"3,476",85.390000000000001,-0.000001000000000,"3,879.285485185231200","407,081.049316224530000"
59,Restalrig and Lochend,87.000000000000000,Restalrig and Lochend,1,53.030000000000001,438,8.260000000000000,33,0.620000000000000,31,42,0.100000000000000,0.394380084000000,0.209139758000000,11.301454280000000,5.993161203000000,0.000000000000000,0.000000000000000,"4,420",83.349999999999994,-0.181843000000000,"3,669.761133460248400","530,276.916768638650000"
60,Leith (Hermitage and Prospect Bank),56.000000000000000,Leith (Hermitage and Prospect Bank),1,45.079999999999998,137,3.040000000000000,34,0.750000000000000,23,34,0.250000000000000,0.638328739000000,0.287758596000000,8.777020165000000,3.956680691000000,0.000000000000000,0.000000000000000,"4,698",104.209999999999990,0.000000000000000,"3,594.226551226962800","450,812.897677869010000"
61,Western Harbour and Leith Docks,103.000000000000000,Western Harbour and Leith Docks,0,325.829999999999980,189,0.580000000000000,59,0.180000000000000,22,29,0.150000000000000,0.526972123000000,1.717033268000000,2.065650268000000,6.730508267000000,1.520000000000000,0.470000000000000,"2,837",8.710000000000001,0.000000000000000,"12,957.925101381705000","3,258,265.377788612200000"
62,North Leith and Newhaven,77.000000000000000,North Leith and Newhaven,1,47.920000000000002,352,7.350000000000000,32,0.670000000000000,25,30,0.090000000000000,0.354030501000000,0.169651416000000,13.657407409999999,6.544629630000000,0.140000000000000,0.290000000000000,"5,065",105.700000000000000,-0.073184000000000,"5,216.939019851969500","479,188.700008389020000"
63,The Shore and Constitution Street,98.000000000000000,The Shore and Constitution Street,0,42.000000000000000,59,1.400000000000000,11,0.260000000000000,24,8,0.140000000000000,0.186393290000000,0.078285182000000,3.013358186000000,1.265610438000000,0.000000000000000,0.000000000000000,"4,929",117.360000000000000,0.014655000000000,"4,451.199623829413200","419,999.348417450960000"
64,Great Junction Street,48.000000000000000,Great Junction Street,1,46.299999999999997,268,5.790000000000000,33,0.710000000000000,27,29,0.110000000000000,1.682930279000000,0.779196719000000,8.853061801999999,4.098967614000000,0.190000000000000,0.400000000000000,"5,025",108.520000000000000,-1.571447000000000,"4,154.539980244312600","463,032.920740842990000"
65,South Leith,92.000000000000000,South Leith,2,54.310000000000002,443,8.160000000000000,76,1.400000000000000,28,56,0.130000000000000,0.553683197000000,0.300705344000000,9.749638901999999,5.295028888000000,0.480000000000000,0.890000000000000,"5,260",96.859999999999999,-0.227134000000000,"4,706.620278540033700","543,065.461280990620000"
